;under 1 year;1 year;2 years;3 years;4 years;5 years;6 years;7 years;8 years;9 years;10 years;11 years;12 years;13 years;14 years;15 years;16 years;17 years;18 years;19 years;Total
31/12/1970;784613;876254;943815;984782;1012935;1015178;1035925;1023489;985694;981162;948242;924473;883099;866625;836729;806792;815046;789957;806875;802885;61001164
31/12/1971;762827;784660;881562;950887;991385;1019343;1020429;1040738;1028316;990835;986252;954014;929920;888067;872692;846953;817312;825026;805073;823800;61502503
31/12/1972;687094;760819;788398;887963;957213;996344;1022698;1023663;1044693;1032253;994940;990510;958738;934374;893592;881337;856638;826412;839001;819240;61809378
31/12/1973;623024;684359;763350;794162;894404;962569;998550;1025376;1027850;1049237;1036675;999867;994993;964148;940400;903047;890369;866984;842488;856663;62101369
31/12/1974;614537;620633;687074;769503;801019;900762;964682;999651;1029250;1032371;1053281;1040707;1003566;998197;968560;945245;906220;892632;870833;845036;61991475
31/12/1975;587834;605098;617752;686902;770121;801515;897456;961095;998727;1029101;1032494;1053925;1040665;1003386;997966;968438;943624;904675;891539;869437;61644624
31/12/1976;593752;580566;601690;617239;687338;770055;797089;893197;960460;998641;1029727;1033578;1054705;1041543;1004366;999532;969953;945522;907481;893928;61441996
31/12/1977;575696;590028;579096;601949;618279;687724;764676;793261;893567;961458;999486;1031716;1035156;1056459;1043525;1007027;1002091;974061;950882;912432;61352745
31/12/1978;571432;574428;590827;581446;604406;620536;684768;763696;796816;897555;964846;1003359;1035460;1039050;1060533;1048004;1011407;1006940;981435;957127;61321663
31/12/1979;578555;572580;576997;594447;585473;607694;620067;685259;768557;802546;903443;971460;1008518;1041542;1046270;1069710;1057402;1021893;1017030;991539;61439342
31/12/1980;617152;580548;575773;580861;598444;589297;608409;621615;690918;775039;809487;912059;978827;1014501;1050075;1057693;1082993;1071871;1035169;1027616;61657945
31/12/1981;621031;616956;581538;577653;582765;599966;587621;607088;623877;694077;778393;814244;916487;983007;1019274;1058694;1063963;1088984;1077905;1039728;61712689
31/12/1982;616631;617931;614477;579775;576156;580943;594716;582180;605249;622950;693387;778446;814303;916588;983266;1019787;1057380;1063435;1089265;1077933;61546101
31/12/1983;590215;613029;614810;611657;577418;573340;574802;588066;578692;602357;620230;690945;776092;811992;914252;981716;1017549;1055443;1062747;1087981;61306669
31/12/1984;580343;587050;609617;611122;607949;573354;566214;567674;583356;573742;597846;615750;686698;772261;808388;911245;978471;1015867;1055458;1063229;61049256
